,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Joker,2019,122,8.5,59,808270,335.45
1,Parasite,2019,132,8.6,96,426750,53.37
2,Knives Out,2019,130,7.9,82,319809,165.36
3,Once Upon a Time... in Hollywood,2019,161,7.7,83,478002,142.5
4,The Gentlemen,2019,113,7.9,51,146955,
5,1917,2019,119,8.3,78,326813,159.23
6,Avengers: Endgame,2019,181,8.4,78,727950,858.37
7,The Help,2011,146,8.1,62,413849,169.71
8,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1603324,315.54
9,Jojo Rabbit,2019,108,7.9,58,225744,0.35
10,The Shawshank Redemption,1994,142,9.3,80,2250445,28.34
11,Back to the Future,1985,116,8.5,87,1009040,210.61
12,Inception,2010,148,8.8,74,1973260,292.58
13,The Godfather,1972,175,9.2,100,1552927,134.97
14,Interstellar,2014,169,8.6,74,1423955,188.02
15,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,615921,317.58
16,Little Women,2019,135,7.9,91,109304,108.1
17,The Wolf of Wall Street,2013,180,8.2,75,1121777,116.9
18,The Dark Knight,2008,152,9.0,84,2218163,534.86
19,Thor: Ragnarok,2017,130,7.9,74,554576,315.06
20,The Silence of the Lambs,1991,118,8.6,85,1218594,130.74
21,Pulp Fiction,1994,154,8.9,94,1761864,107.93
22,Django Unchained,2012,165,8.4,81,1302022,162.81
23,The Lighthouse,2019,109,7.6,83,107984,0.43
24,Titanic,1997,194,7.8,75,1014789,659.33
25,The Matrix,1999,136,8.7,73,1614258,171.48
26,Mad Max: Fury Road,2015,120,8.1,90,844695,154.06
27,Inglourious Basterds,2009,153,8.3,69,1214818,120.54
28,Do the Right Thing,1989,120,7.9,92,82777,27.55
29,Ford v Ferrari,2019,152,8.1,81,222799,117.62
30,The Irishman,2019,209,7.9,94,294013,
31,Se7en,1995,127,8.6,65,1385281,100.13
32,V for Vendetta,2005,132,8.2,62,999697,70.51
33,Indiana Jones and the Last Crusade,1989,127,8.2,65,670271,197.17
34,Avengers: Infinity War,2018,149,8.5,68,780115,678.82
35,Blade Runner 2049,2017,164,8.0,81,432623,92.05
36,No Country for Old Men,2007,122,8.1,91,819747,74.28
37,Shutter Island,2010,138,8.1,63,1082303,128.01
38,Jurassic Park,1993,127,8.1,68,833406,402.45
39,The Departed,2006,151,8.5,85,1146894,132.38
40,The Dark Knight Rises,2012,164,8.4,78,1466331,448.14
41,Forrest Gump,1994,142,8.8,82,1735031,330.25
42,Gone Girl,2014,149,8.1,79,822153,167.77
43,The Social Network,2010,120,7.7,95,602011,96.96
44,Fight Club,1999,139,8.8,66,1789160,37.03
45,The Goonies,1985,114,7.8,62,233595,61.5
46,Alien,1979,117,8.4,89,759651,78.9
47,The Prestige,2006,130,8.5,66,1140083,53.09
48,The Lord of the Rings: The Return of the King,2003,201,8.9,94,1589297,377.85
49,Guardians of the Galaxy,2014,121,8.0,76,1014963,333.18
